"","title","description","streetaddress","city","state","Year","lat","long"
"67","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2011,"37.5538666",-77.4823644
"68","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2012,"37.5538666",-77.4823644
"69","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2013,"37.5538666",-77.4823644
"70","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2014,"37.5538666",-77.4823644
"71","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2015,"37.5538666",-77.4823644
"72","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2016,"37.5538666",-77.4823644
"73","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2017,"37.5538666",-77.4823644
"74","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2018,"37.5538666",-77.4823644
"75","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2019,"37.5538666",-77.4823644
"76","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2020,"37.5538666",-77.4823644
"77","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2021,"37.5538666",-77.4823644
"78","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2022,"37.5538666",-77.4823644
"79","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2023,"37.5538666",-77.4823644
"80","Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",2024,"37.5538666",-77.4823644
"81","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1972,"37.89094105",-122.290708115713
"82","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1973,"37.89094105",-122.290708115713
"83","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1974,"37.89094105",-122.290708115713
"84","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1975,"37.89094105",-122.290708115713
"85","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1976,"37.89094105",-122.290708115713
"86","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1977,"37.89094105",-122.290708115713
"87","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1978,"37.89094105",-122.290708115713
"88","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1979,"37.89094105",-122.290708115713
"89","The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",1980,"37.89094105",-122.290708115713
